Id,SalePrice
1461,119958.96767851077
1462,151483.28137650524
1463,180199.7338300716
1464,197514.3406709832
1465,202432.940724672
1466,170553.64481863155
1467,179791.2979908127
1468,159785.37547885763
1469,196120.02193646543
1470,118848.94285207312
1471,188057.02767875866
1472,98875.20164552364
1473,95138.01077834173
1474,143648.93186836576
1475,107787.4901034903
1476,353634.02233717224
1477,246595.34375017462
1478,299797.2568520621
1479,300046.3632790911
1480,468173.2007915886
1481,321387.60831635096
1482,213624.9235098089
1483,181176.57699045024
1484,160707.83148927128
1485,197391.83559284886
1486,194935.4043730123
1487,335958.2628432622
1488,238786.59015573218
1489,189497.93731550756
1490,239795.52813390113
1491,196909.20516774157
1492,92672.17860327268
1493,190788.89719889377
1494,295746.0068964652
1495,288784.38435534784
1496,234245.3861460351
1497,179730.17463317333
1498,171649.43135191637
1499,165690.15735909884
1500,158410.71305898333
1501,172996.4914336798
1502,145807.06994219313
1503,285947.4433075474
1504,241974.05956010436
1505,225725.08264078008
1506,187588.5965374292
1507,243994.68074701595
1508,201684.85557872104
1509,161697.1234270474
1510,142589.0097734699
1511,150707.1508053139
1512,177475.27473827018
1513,153710.7369894765
1514,154170.21621909592
1515,192748.70600614694
1516,155727.04326593044
1517,171603.60584975866
1518,131336.41071334868
1519,209176.2555000072
1520,125481.26570083191
1521,128979.97663519044
1522,179321.81376660502
1523,110060.1280420111
1524,126799.7038537681
1525,117883.28570111061
1526,110334.19331137273
1527,109263.99763044607
1528,140138.76121240636
1529,149755.1552434447
1530,187505.6432321549
1531,107047.2018999733
1532,98598.73898664911
1533,145726.24910369425
1534,127755.49407102095
1535,146877.43430370206
1536,107058.7000489122
1537,61372.70714506254
1538,147900.79788122256
1539,194947.15046946565
1540,98415.46669545886
1541,137950.31066591595
1542,140327.10631844975
1543,178440.42554718233
1544,88908.17155289215
1545,118530.6718929587
1546,138917.5083347542
1547,128142.86576606688
1548,142758.62970539954
1549,123915.74136770432
1550,133391.83189495807
1551,106602.80546182982
1552,133276.3233280389
1553,145110.74174139494
1554,116068.5785336958
1555,158659.77291738155
1556,86638.05932801613
1557,105266.33923662358
1558,102075.2899061774
1559,63812.94170263843
1560,134651.96710770018
1561,125801.04474062502
1562,131034.1182102797
1563,117677.89532240269
1564,154204.95592921972
1565,150890.68393944917
1566,239160.42857589867
1567,77681.89969512464
1568,232884.8599419229
1569,124230.43791639913
1570,141734.08481987534
1571,123610.37323877656
1572,140150.53594653888
1573,228537.3462741611
1574,119907.0924147729
1575,229503.53929507657
1576,250123.38559708727
1577,178040.85306048486
1578,150481.77363230594
1579,143378.9046425067
1580,197269.698729722
1581,156304.1547656431
1582,124484.82467760991
1583,282179.55103541963
1584,216047.087729306
1585,133839.44797285134
1586,64045.79709986847
1587,107182.65145302072
1588,151701.05909985251
1589,96465.81733888357
1590,133278.49844636722
1591,89609.84391502265
1592,115189.94971892709
1593,126195.39123756505
1594,122741.43591836728
1595,106236.7649358937
1596,214990.21332269994
1597,196107.50846994476
1598,233247.39212994653
1599,166960.8496525455
1600,158617.88177002216
